"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","29.02.2024 07:15","0.05 m","137.47 m³/h","","29.02.2024 07:22"
"Muuli tee","29.02.2024 07:10","0.05 m","145.99 m³/h","","29.02.2024 07:12"
"Muuli tee","29.02.2024 07:05","0.05 m","140.9 m³/h","","29.02.2024 07:07"
"Muuli tee","29.02.2024 07:00","0.05 m","146.81 m³/h","","29.02.2024 07:02"
"Muuli tee","29.02.2024 06:55","0.05 m","142.28 m³/h","","29.02.2024 06:57"
"Muuli tee","29.02.2024 06:50","0.05 m","144.48 m³/h","","29.02.2024 06:52"
"Muuli tee","29.02.2024 06:45","0.05 m","142.28 m³/h","","29.02.2024 06:47"
"Muuli tee","29.02.2024 06:40","0.05 m","133.62 m³/h","","29.02.2024 06:42"
"Muuli tee","29.02.2024 06:35","0.05 m","143.38 m³/h","","29.02.2024 06:42"
"Muuli tee","29.02.2024 06:30","0.05 m","146.81 m³/h","","29.02.2024 06:32"
"Muuli tee","29.02.2024 06:25","0.05 m","143.1 m³/h","","29.02.2024 06:27"
"Muuli tee","29.02.2024 06:20","0.05 m","150.66 m³/h","","29.02.2024 06:22"
"Muuli tee","29.02.2024 06:15","0.05 m","142.28 m³/h","","29.02.2024 06:17"
"Muuli tee","29.02.2024 06:10","0.05 m","145.85 m³/h","","29.02.2024 06:12"
"Muuli tee","29.02.2024 06:05","0.05 m","138.43 m³/h","","29.02.2024 06:07"
"Muuli tee","29.02.2024 06:00","0.05 m","142.14 m³/h","","29.02.2024 06:02"
"Muuli tee","29.02.2024 05:55","0.05 m","144.75 m³/h","","29.02.2024 05:57"
"Muuli tee","29.02.2024 05:50","0.05 m","143.65 m³/h","","29.02.2024 05:52"
"Muuli tee","29.02.2024 05:45","0.05 m","142.28 m³/h","","29.02.2024 05:47"
"Muuli tee","29.02.2024 05:40","0.05 m","143.65 m³/h","","29.02.2024 05:42"
"Muuli tee","29.02.2024 05:35","0.05 m","144.75 m³/h","","29.02.2024 05:37"
"Muuli tee","29.02.2024 05:30","0.05 m","143.65 m³/h","","29.02.2024 05:32"
"Muuli tee","29.02.2024 05:25","0.05 m","144.75 m³/h","","29.02.2024 05:32"
"Muuli tee","29.02.2024 05:20","0.05 m","147.09 m³/h","","29.02.2024 05:22"
"Muuli tee","29.02.2024 05:15","0.05 m","147.22 m³/h","","29.02.2024 05:17"
"Muuli tee","29.02.2024 05:10","0.05 m","144.75 m³/h","","29.02.2024 05:12"
"Muuli tee","29.02.2024 05:05","0.05 m","145.99 m³/h","","29.02.2024 05:07"
"Muuli tee","29.02.2024 05:00","0.05 m","145.99 m³/h","","29.02.2024 05:02"
"Muuli tee","29.02.2024 04:55","0.05 m","145.99 m³/h","","29.02.2024 04:57"
"Muuli tee","29.02.2024 04:50","0.05 m","147.09 m³/h","","29.02.2024 04:52"
"Muuli tee","29.02.2024 04:45","0.05 m","147.09 m³/h","","29.02.2024 04:47"
"Muuli tee","29.02.2024 04:40","0.05 m","145.99 m³/h","","29.02.2024 04:42"
"Muuli tee","29.02.2024 04:35","0.05 m","148.32 m³/h","","29.02.2024 04:37"
"Muuli tee","29.02.2024 04:30","0.05 m","143.51 m³/h","","29.02.2024 04:32"
"Muuli tee","29.02.2024 04:25","0.05 m","148.46 m³/h","","29.02.2024 04:27"
"Muuli tee","29.02.2024 04:20","0.05 m","146.95 m³/h","","29.02.2024 04:22"
"Muuli tee","29.02.2024 04:15","0.05 m","147.22 m³/h","","29.02.2024 04:17"
"Muuli tee","29.02.2024 04:10","0.05 m","145.71 m³/h","","29.02.2024 04:12"
"Muuli tee","29.02.2024 04:05","0.05 m","144.75 m³/h","","29.02.2024 04:07"
"Muuli tee","29.02.2024 04:00","0.05 m","145.99 m³/h","","29.02.2024 04:02"
"Muuli tee","29.02.2024 03:55","0.05 m","144.75 m³/h","","29.02.2024 03:57"
"Muuli tee","29.02.2024 03:50","0.05 m","148.19 m³/h","","29.02.2024 03:52"
"Muuli tee","29.02.2024 03:45","0.05 m","149.29 m³/h","","29.02.2024 03:47"
"Muuli tee","29.02.2024 03:40","0.05 m","147.09 m³/h","","29.02.2024 03:42"
"Muuli tee","29.02.2024 03:35","0.05 m","148.32 m³/h","","29.02.2024 03:37"
"Muuli tee","29.02.2024 03:30","0.05 m","148.32 m³/h","","29.02.2024 03:32"
"Muuli tee","29.02.2024 03:25","0.05 m","152.03 m³/h","","29.02.2024 03:27"
"Muuli tee","29.02.2024 03:20","0.05 m","148.46 m³/h","","29.02.2024 03:22"
"Muuli tee","29.02.2024 03:15","0.05 m","151.9 m³/h","","29.02.2024 03:17"
"Muuli tee","29.02.2024 03:10","0.05 m","150.8 m³/h","","29.02.2024 03:12"
"Muuli tee","29.02.2024 03:05","0.05 m","150.8 m³/h","","29.02.2024 03:07"
"Muuli tee","29.02.2024 03:00","0.05 m","148.32 m³/h","","29.02.2024 03:02"
"Muuli tee","29.02.2024 02:55","0.05 m","149.56 m³/h","","29.02.2024 02:57"
"Muuli tee","29.02.2024 02:50","0.05 m","148.46 m³/h","","29.02.2024 02:52"
"Muuli tee","29.02.2024 02:45","0.05 m","146.95 m³/h","","29.02.2024 02:47"
"Muuli tee","29.02.2024 02:40","0.05 m","147.09 m³/h","","29.02.2024 02:42"
"Muuli tee","29.02.2024 02:35","0.05 m","154.23 m³/h","","29.02.2024 02:37"
"Muuli tee","29.02.2024 02:30","0.05 m","151.9 m³/h","","29.02.2024 02:32"
