"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","30.11.2023 11:10","0.04 m","92.81 m³/h","","30.11.2023 11:12"
"Muuli tee","30.11.2023 11:05","0.04 m","86.91 m³/h","","30.11.2023 11:07"
"Muuli tee","30.11.2023 11:00","0.04 m","91.58 m³/h","","30.11.2023 11:02"
"Muuli tee","30.11.2023 10:55","0.04 m","96.52 m³/h","","30.11.2023 10:57"
"Muuli tee","30.11.2023 10:50","0.04 m","98.72 m³/h","","30.11.2023 10:52"
"Muuli tee","30.11.2023 10:45","0.04 m","91.71 m³/h","","30.11.2023 10:47"
"Muuli tee","30.11.2023 10:40","0.04 m","98.58 m³/h","","30.11.2023 10:42"
"Muuli tee","30.11.2023 10:35","0.04 m","103.67 m³/h","","30.11.2023 10:37"
"Muuli tee","30.11.2023 10:30","0.04 m","96.39 m³/h","","30.11.2023 10:32"
"Muuli tee","30.11.2023 10:25","0.04 m","96.25 m³/h","","30.11.2023 10:27"
"Muuli tee","30.11.2023 10:20","0.04 m","88.14 m³/h","","30.11.2023 10:22"
"Muuli tee","30.11.2023 10:15","0.04 m","94.05 m³/h","","30.11.2023 10:17"
"Muuli tee","30.11.2023 10:10","0.04 m","100.1 m³/h","","30.11.2023 10:12"
"Muuli tee","30.11.2023 10:05","0.04 m","89.1 m³/h","","30.11.2023 10:07"
"Muuli tee","30.11.2023 10:00","0.04 m","97.49 m³/h","","30.11.2023 10:02"
"Muuli tee","30.11.2023 09:55","0.04 m","96.39 m³/h","","30.11.2023 09:57"
"Muuli tee","30.11.2023 09:50","0.04 m","97.35 m³/h","","30.11.2023 09:52"
"Muuli tee","30.11.2023 09:45","0.04 m","97.62 m³/h","","30.11.2023 09:47"
"Muuli tee","30.11.2023 09:40","0.04 m","92.81 m³/h","","30.11.2023 09:42"
"Muuli tee","30.11.2023 09:35","0.04 m","89.24 m³/h","","30.11.2023 09:37"
"Muuli tee","30.11.2023 09:30","0.04 m","96.25 m³/h","","30.11.2023 09:32"
"Muuli tee","30.11.2023 09:25","0.04 m","92.95 m³/h","","30.11.2023 09:27"
"Muuli tee","30.11.2023 09:20","0.04 m","91.71 m³/h","","30.11.2023 09:22"
"Muuli tee","30.11.2023 09:15","0.04 m","96.39 m³/h","","30.11.2023 09:17"
"Muuli tee","30.11.2023 09:10","0.04 m","95.29 m³/h","","30.11.2023 09:12"
"Muuli tee","30.11.2023 09:05","0.04 m","92.81 m³/h","","30.11.2023 09:07"
"Muuli tee","30.11.2023 09:00","0.04 m","94.19 m³/h","","30.11.2023 09:02"
"Muuli tee","30.11.2023 08:55","0.04 m","88.14 m³/h","","30.11.2023 08:57"
"Muuli tee","30.11.2023 08:50","0.04 m","96.52 m³/h","","30.11.2023 08:52"
"Muuli tee","30.11.2023 08:45","0.04 m","89.38 m³/h","","30.11.2023 08:47"
"Muuli tee","30.11.2023 08:40","0.04 m","90.62 m³/h","","30.11.2023 08:42"
"Muuli tee","30.11.2023 08:35","0.04 m","91.44 m³/h","","30.11.2023 08:37"
"Muuli tee","30.11.2023 08:30","0.04 m","93.91 m³/h","","30.11.2023 08:32"
"Muuli tee","30.11.2023 08:25","0.04 m","91.58 m³/h","","30.11.2023 08:27"
"Muuli tee","30.11.2023 08:20","0.04 m","92.81 m³/h","","30.11.2023 08:22"
"Muuli tee","30.11.2023 08:15","0.04 m","93.91 m³/h","","30.11.2023 08:17"
"Muuli tee","30.11.2023 08:10","0.04 m","89.38 m³/h","","30.11.2023 08:12"
"Muuli tee","30.11.2023 08:05","0.04 m","88.14 m³/h","","30.11.2023 08:07"
"Muuli tee","30.11.2023 08:00","0.04 m","95.15 m³/h","","30.11.2023 08:02"
"Muuli tee","30.11.2023 07:55","0.04 m","97.49 m³/h","","30.11.2023 07:57"
"Muuli tee","30.11.2023 07:50","0.04 m","95.15 m³/h","","30.11.2023 07:52"
"Muuli tee","30.11.2023 07:45","0.04 m","93.78 m³/h","","30.11.2023 07:47"
"Muuli tee","30.11.2023 07:40","0.04 m","92.81 m³/h","","30.11.2023 07:42"
"Muuli tee","30.11.2023 07:35","0.04 m","92.68 m³/h","","30.11.2023 07:37"
"Muuli tee","30.11.2023 07:30","0.04 m","90.48 m³/h","","30.11.2023 07:32"
"Muuli tee","30.11.2023 07:25","0.04 m","97.49 m³/h","","30.11.2023 07:27"
"Muuli tee","30.11.2023 07:20","0.04 m","95.29 m³/h","","30.11.2023 07:22"
"Muuli tee","30.11.2023 07:15","0.04 m","92.81 m³/h","","30.11.2023 07:17"
"Muuli tee","30.11.2023 07:10","0.04 m","96.39 m³/h","","30.11.2023 07:12"
"Muuli tee","30.11.2023 07:05","0.04 m","94.05 m³/h","","30.11.2023 07:07"
"Muuli tee","30.11.2023 07:00","0.04 m","97.62 m³/h","","30.11.2023 07:02"
"Muuli tee","30.11.2023 06:55","0.04 m","94.05 m³/h","","30.11.2023 06:57"
"Muuli tee","30.11.2023 06:50","0.04 m","89.38 m³/h","","30.11.2023 06:52"
"Muuli tee","30.11.2023 06:45","0.04 m","92.81 m³/h","","30.11.2023 06:47"
"Muuli tee","30.11.2023 06:40","0.04 m","92.81 m³/h","","30.11.2023 06:42"
"Muuli tee","30.11.2023 06:35","0.04 m","86.91 m³/h","","30.11.2023 06:37"
"Muuli tee","30.11.2023 06:30","0.04 m","92.81 m³/h","","30.11.2023 06:32"
"Muuli tee","30.11.2023 06:25","0.04 m","96.39 m³/h","","30.11.2023 06:27"
"Muuli tee","30.11.2023 06:20","0.04 m","92.81 m³/h","","30.11.2023 06:22"
"Muuli tee","30.11.2023 06:15","0.04 m","92.95 m³/h","","30.11.2023 06:17"
